"B97";"NR43";"Congélateur";"Ancus"
"B107";"NR282";"Réfrigérateur-Congélateur";"Zra"
"A119";"NR72";"Bouilloire";"Daggyr"
"A121";"NR130";"Expresso";"Faquoäloïius"
"A132";"NR300";"Sèche-Linge";"Eutin"
"A142";"NR42";"Cafetière";"Cailtor"
"A160";"NR182";"Cave À Vin";"Angulius Eucus"
"A164";"NR41";"Expresso";"Sicio"
"A182";"NR164";"Micro-Ondes";"Kefrinus"
"A184";"NR125";"Barbecue";"Dradul"
"A185";"NR95";"Four À Gaz";"Aaôtin"
"B193";"NR47";"Bouilloire";"Boobul"
"A201";"NR11";"Congélateur";"Opocus"
"B212";"NR200";"Rasoir";"Kolus Daalus Dooncus"
"B216";"NR103";"Centrifugeuse";"Duäcio Bicio Xanimius"
"A227";"NR47";"Bouilloire";"Boobul"
"B243";"NR182";"Cave À Vin";"Angulius Eucus"
"A261";"NR34";"Rasoir";"Kra"
"B271";"NR110";"Cuit Vapeur";"Waavyr"
"B275";"NR39";"Lave-Singe";"Xanaulus"
"A282";"NR11";"Congélateur";"Opocus"
"B283";"NR274";"Rasoir";"Rob"
"B296";"NR113";"Fer À Repasser";"Cafritor"
"B312";"NR262";"Nettoyeur À Vapeur";"Bailcus"
"A321";"NR8";"Cuisinière";"Banulius Eutor Iunus"
"B336";"NR49";"Barbecue";"Sinus Kaillus"
"B339";"NR262";"Nettoyeur À Vapeur";"Bailcus"
"B356";"NR119";"Expresso";"Rag"
"B371";"NR140";"Climatiseur";"Zobgul"
"A374";"NR222";"Centrale Vapeur";"Gob"
"A392";"NR99";"Réfrigérateur";"Cafritor"
"B409";"NR148";"Table À Repasser";"Dülius"
"A423";"NR266";"Cuiseur De Riz";"Aufritin"
"B443";"NR263";"Bouilloire";"Anes"
"B462";"NR230";"Bouilloire";"Bargyr"
"B475";"NR201";"Micro-Ondes";"Loibucio Bracio Aubotus"
"B476";"NR200";"Rasoir";"Kolus Daalus Dooncus"
"A483";"NR241";"Pèse-Personne";"Kelius Loicio"
"B484";"NR19";"Cafetière";"Zobgul"
"A493";"NR263";"Bouilloire";"Anes"
"B504";"NR163";"Table À Repasser";"Ies"
