"Cuisinière";"Gros Électroménager"
"Four À Gaz";"Gros Électroménager"
"Four À Vapeur";"Gros Électroménager"
"Four Traditionnel";"Gros Électroménager"
"Micro-Ondes";"Gros Électroménager"
"Plaque De Cuisson";"Gros Électroménager"
"Cave À Vin";"Gros Électroménager"
"Climatiseur";"Gros Électroménager"
"Congélateur";"Gros Électroménager"
"Réfrigérateur";"Gros Électroménager"
"Réfrigérateur-Congélateur";"Gros Électroménager"
"Lave-Singe";"Gros Électroménager"
"Lave-Vaisselle";"Gros Électroménager"
"Sèche-Linge";"Gros Électroménager"
"Aspirateur";"Petit Électroménager"
"Cireuse";"Petit Électroménager"
"Nettoyeur À Vapeur";"Petit Électroménager"
"Brosse À Dents";"Petit Électroménager"
"Pèse-Personne";"Petit Électroménager"
"Rasoir";"Petit Électroménager"
"Barbecue";"Petit Électroménager"
"Bouilloire";"Petit Électroménager"
"Centrifugeuse";"Petit Électroménager"
"Cuiseur De Riz";"Petit Électroménager"
"Cuit Vapeur";"Petit Électroménager"
"Cafetière";"Petit Électroménager"
"Expresso";"Petit Électroménager"
"Moulin À Café";"Petit Électroménager"
"Centrale Vapeur";"Petit Électroménager"
"Fer À Repasser";"Petit Électroménager"
"Table À Repasser";"Petit Électroménager"
